rev_yoy,prev_rev_yoy,name,symbol,est_price,prev_year,prev_eps_yoy,price,prev_eps,date,expansion,eps,pe,eps_yoy,status,om,gm,advice
16.1,14.52,高雄銀,2836.TW,25.200000000000003,2025,28.3,12.5500001907,0.68,2026-03,17.229999999999997,0.2,7.47023820875,33.33,🏰 高護城河,32.37%,89.95%,💎 強力關注
316.27,25.43,環宇-KY,4991.TWO,11.999999999999998,2025,107.11,348.0,0.15,2026-03,15.160000000000025,1.67,435.00000000000006,331.43,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
-1.82,10.14,精誠金融,7819.TWO,0.0,2025,14.12,36.0,2.91,2026-03,12.35,0.42,0.0,10.53,🧐 疑業外收益,N/A,N/A,⚪ 數據不足
22.04,-12.26,凱基金,2883.TW,57.14999999999999,2025,-10.99,29.5499992371,1.74,2026-03,12.0,0.69,7.755905311574804,34.04,🏰 高護城河,39.14%,78.38%,💎 強力關注
41.94,-0.97,華安,6657.TW,-109.2,2025,-14.12,34.5,-2.92,2026-03,10.350000000000001,-0.53,0.0,52.29,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
19.99,6.74,力旺,3529.TWO,947.7,2025,4.19,2300.0,25.6,2026-03,9.14,7.98,36.40392529281418,29.13,🏰 高護城河,60.64%,100.00%,⚠️ 追價風險
274.7,-8.31,宏亞,1236.TW,-14.25,2025,-53.57,23.5499992371,-0.43,2026-03,8.629999999999995,0.23,0.0,283.33,🔄 轉虧為盈,-4.59%,24.77%,⚪ 數據不足
145.6,-15.19,岱宇,1598.TW,-89.10000000000001,2025,-827.91,19.8999996185,-3.35,2026-03,7.890000000000015,0.25,0.0,153.49,🔄 轉虧為盈,-13.99%,27.77%,⚪ 數據不足
48.18,15.86,全景軟體,8272.TWO,136.05,2025,24.93,65.5,4.66,2026-03,7.82,0.39,7.221609702315325,56.0,🚀 利潤擴張,N/A,N/A,✅ 穩健價值
30.02,-2.15,欣欣,2901.TW,13.5,2025,-7.32,24.0499992371,0.38,2026-03,7.48,0.11,26.722221374555556,37.5,🏰 高護城河,20.24%,84.77%,⚠️ 追價風險
-11.29,-3.6,未知,4178.TWO,0.0,2025,14.95,0.0,-0.92,2026-03,5.7299999999999995,-0.19,0.0,-5.56,🌑 雙重衰退,N/A,N/A,⚪ 數據不足
-11.29,-3.6,永笙-KY,4178.TW,0.0,2025,14.95,19.2999992371,-0.92,2026-03,5.7299999999999995,-0.19,0.0,-5.56,🌑 雙重衰退,N/A,N/A,⚪ 數據不足
